Document,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
1995wess_clean_0.txt,21.43,6.17,3.08,2.44,0.16,0.16,0.49,32.31,8.93,8.93,0.65,0.32,0,0,0.32,0.81,13.8
1996wess_clean_0.txt,4.24,4.75,0.85,1.19,0,8.66,9.34,40.58,2.55,4.41,4.92,0.51,0.34,0,2.04,1.53,14.09
1997wess_clean_0.txt,8.47,1.8,27.51,1.27,0,0.21,7.41,27.94,1.48,4.55,0.95,0.95,3.92,0,0.21,1.48,11.85
1998wess_clean_0.txt,4.68,6.38,0,0.85,0.43,0,1.28,63.4,1.28,5.11,0.85,0.43,0,0,0,1.28,14.04
1999wess_part2_0.txt,4.81,0.96,0.96,0,1.44,0,0,62.98,10.1,6.25,0.48,0,0,0,0,2.4,9.62
2000wess_part2_0.txt,8.33,15.32,2.03,13.51,0.45,0.68,0.45,30.63,10.14,7.66,0.23,0.23,0,0,0.45,4.05,5.86
2001_World_Public_Sector_Report_0.txt,14.65,0.51,6.82,2.53,0.51,1.52,0,18.43,2.53,8.08,2.53,0,1.26,0,1.26,31.57,7.83
2001wess_part2_0.txt,14.69,11.43,6.94,1.22,0,1.63,0.41,20,2.04,4.49,9.39,0,2.86,0.41,10.2,1.63,12.65
2002wess_part2_0.txt,8.84,8.67,32.73,10.15,0.33,0.98,3.11,9.17,18.99,1.96,0.98,0,0,0,0,1.47,2.62
2003_World_Public_Sector_Report_0.txt,8.7,1.3,5.22,10.43,1.74,0,0.87,7.83,13.91,3.91,6.52,0.87,0,0,0.87,26.09,11.74
2003_World_Youth_Report_0.txt,10.78,3.14,36.38,9.55,4.1,0.56,0.22,16.45,2.08,7.13,1.07,0.45,0,0,0.79,7.13,0.17
2003wess_part2_0.txt,40.86,10.75,2.37,0.65,0,0.22,0.22,22.8,2.37,7.1,0.86,0,0,0,1.51,0.75,9.57
2004wess_part2_0.txt,3.4,0.49,1.84,2.72,0.68,0.1,0,9.51,0.78,73.5,0.39,0,0,0,0.19,3.5,2.91
2005_World_Public_Sector_Report_0.txt,3.09,0,40.72,7.73,0.52,0,0,9.28,1.03,10.82,0,0,0,0,1.03,17.53,8.25
2005_World_Youth_Report_0.txt,14.54,2.05,18.83,7.46,9.69,0.84,0.09,10.72,1.3,10.9,0.47,0.28,0,0,0.28,21.81,0.75
2005_rwss_0.txt,24.71,2.57,12.36,2.7,1.67,0,0,22.01,0.39,23.94,0,0,0.51,0,0.9,4.25,3.99
2005wess_0.txt,12.55,3.59,0.83,2.07,0,0.14,0,24.14,3.45,19.59,1.93,0.14,0.97,0,0,3.72,26.9
2006wess_0.txt,6.39,3.12,1.14,2.7,0,0,0.14,43.04,4.12,16.62,0.43,0,0,0,0,7.39,14.91
2007_World_Youth_Report_0.txt,7.42,1.26,38.21,11.41,1.61,0.28,0.49,27.99,0.84,5.74,0.77,0.14,0.14,0,0.07,3.36,0.28
2007_rwss_0.txt,18.13,1.38,4.53,3.94,1.38,0.1,0,50.64,0.3,17.04,0.3,0,0,0,0.1,1.18,0.99
2007wess_0.txt,25.7,1.4,27.97,6.29,0.35,0.87,0,22.9,1.75,8.22,0.52,0,0.17,0,0,2.8,1.05
2008_public_sector_report-out_0.txt,18.46,0.77,2.69,3.08,0.77,0,0,8.85,0.77,3.85,10,0.38,0,0,0.38,45.38,4.62
2008wess_0.txt,26.08,9.13,3,1.69,0,0.52,0.39,24.51,1.96,8.34,5.48,0.26,4.95,0,0.91,6.26,6.52
2009_ageing-out_0.txt,57.89,0,21.05,5.26,0,0,0,15.79,0,0,0,0,0,0,0,0,0
2009_cdp_mdghealth_0.txt,5.17,3.45,63.79,0.57,8.05,0.29,0,3.16,1.44,9.2,0.57,0,0.57,0,0,0.57,3.16
2009_cdp_policynote_0.txt,5.21,4.17,3.12,0,0,1.56,11.46,7.81,4.17,1.04,0.52,0.52,47.92,0.52,3.65,3.12,5.21
2009_women_in_development-out_0.txt,17.62,1.62,9.15,2.54,21.62,0.54,0.15,27.85,1,11.46,2.54,0,0.54,0,1.15,0.62,1.62
2009wess_0.txt,5.58,2.47,1.74,0.74,0,2.26,17.94,4.47,4.26,2.52,2.37,1.79,36.88,0.21,7.79,1.1,7.89
2010_YouthReport-out_0.txt,1.18,3.29,1.29,5.29,0,2.82,3.76,6.24,1.06,0.94,2.47,8.35,58.94,0.35,2.59,1.06,0.35
2010_cdpreport_0.txt,8.18,5.66,0,0,0,1.26,0.63,8.81,3.14,32.08,0,0.63,8.81,0,0,3.14,27.67
2010_parliament-out_0.txt,2.11,0,2.11,8.42,0,0,12.63,2.11,34.74,5.26,9.47,2.11,0,0,0,12.63,8.42
2010_post_conflict-out_0.txt,5.39,0,4.49,2.99,8.08,1.5,0.6,8.08,0.9,16.47,5.09,0,0,0,1.8,42.51,2.1
2010_rwss_0.txt,45.44,1.88,4.94,2.3,0.94,0.26,0,24.04,0.51,13.04,0.68,0.43,0.6,0,0.09,2.22,2.64
2010wess_0.txt,26.28,2.97,2.88,1.02,0.09,0.09,1.76,15.69,2.04,12.07,0.56,0.74,14.02,0,1.02,3.06,15.69
2011_disability_and_the_mdgs-out_0.txt,22.22,1.59,26.19,3.97,3.17,3.17,0,1.59,0,31.75,2.38,0,0.79,0,0.79,0.79,1.59
2011_rwss_0.txt,26.27,13.06,8.12,1.27,1.75,1.11,0,38.06,0.64,5.1,0.32,0.16,0.64,0.32,0.48,0.32,2.39
2011_youth_report-out_0.txt,4.39,0.23,1.62,18.94,1.15,0,0.46,63.74,1.15,4.85,0.23,0,0.69,0,0.23,1.85,0.46
2011wess_0.txt,5.56,10.71,1.22,1.89,0.2,3.16,17.76,5.66,13.98,2.04,3.42,3.06,17.14,0.26,6.28,0.51,7.14
2012_cdp_policynote_0.txt,21.03,5.15,3,1.72,3.86,2.15,3.43,15.02,1.29,18.45,0,0.43,8.58,0,1.29,4.29,10.3
2012wess_0.txt,0.63,0.39,31.07,0,0,0.16,1.89,1.42,0.95,17.19,0.16,2.76,22.71,0.08,3.71,0.55,16.32
2013_UNTT_mdg8-out_0.txt,3.72,1.06,4.79,0,1.6,0,1.06,7.98,2.66,10.64,0.53,0,4.79,0.53,0.53,2.13,57.98
2013_rwss_0.txt,19.41,4.11,10.36,8.72,1.15,1.15,0,20.72,0,28.45,3.45,0,0.33,0.16,0,1.48,0.49
2013_youth_report-out_0.txt,4.48,0,8.96,10.82,1.87,0.75,0,16.04,0.75,44.03,0.75,0,0,0,0,10.82,0.75
2013wess_0.txt,7.53,18.75,2.31,0.68,0.43,3.17,9.08,9.93,2.91,6.42,10.1,6.85,12.59,0.6,5.14,1.03,2.48
2014_Urbanization-out_0.txt,4.46,0,4.46,0,0,1.79,0.89,18.75,0,0.89,62.5,0,0.89,0,2.68,0.89,1.79
2014_cdp_policynote_0.txt,6.47,1.49,2.49,0.5,1.49,0.5,0.5,14.43,0.5,26.37,1,1,8.96,0,7.46,5.47,21.39
2014wess_overview_0.txt,19.88,0.6,2.41,0,4.22,0,0,10.24,0,38.55,0,1.2,10.24,1.2,0.6,0.6,10.24
2015_GSDR-out_0.txt,7.3,4.41,3.53,3.53,1.04,2.17,3.13,10.43,12.04,2.49,10.11,4.09,11.96,7.46,7.7,3.05,5.54
2015_World_Public_Sector_Report_0.txt,12.15,1.62,2.83,1.62,1.62,0.81,0.81,10.53,1.62,7.29,2.02,2.83,1.21,0.4,3.64,42.91,6.07
