doc,mean,cogdiv,mean_quartile,cogdiv_quartile
1995wess_clean,0.015356392443301763,0.4799436286164516,2.0,2
1997wess_clean,0.00917308620531974,0.37093974319260553,1.0,1
1998wess_clean,0.02338407134205821,0.5922508506797378,3.0,3
1999wess_part2,0.022457984957267484,0.5804048366089072,3.0,3
2000wess_part2,0.02046718457736729,0.554082817510622,3.0,3
2001_World_Public_Sector_Report,0.006903059056777669,0.3217854655693216,1.0,1
2001wess_part2,0.020430488173678152,0.5535858764502327,3.0,3
2002wess_part2,0.04965065143926026,0.8629946532794417,3.0,3
2003_World_Public_Sector_Report,0.013677113751602821,0.45294227697802986,2.0,2
2003wess_part2,0.01100140429886904,0.4062278479905527,2.0,2
2004wess_part2,0.028813943130593246,0.6574261532361628,3.0,3
2005_World_Public_Sector_Report,0.008577302662375408,0.35869142718446884,1.0,1
2005_World_Youth_Report,0.003725341646281765,0.23638977282070914,0.0,0
2005_rwss,0.022120843451824714,0.5760318149003323,3.0,3
2005wess,0.012298209215509554,0.42950336230656366,2.0,2
2006wess,0.011628591721673503,0.4176468314558397,2.0,2
2007_World_Youth_Report,0.004799051822987889,0.26830165363787517,0.0,0
2007_rwss,0.006891927655989632,0.3215259162802347,1.0,1
2007wess,0.02642399109802562,0.6295711766515238,3.0,3
2008_public_sector_report-out,0.007260622125335666,0.33001413890928216,1.0,1
2008wess,0.00778393050940399,0.3417000989772462,1.0,1
2009_ageing-out,0.02328622261882957,0.5910104392330507,3.0,3
2009_cdp_mdghealth,0.00237554290026507,0.1887674323181201,0.0,0
2009_cdp_policynote,0.04287049019167367,0.801908568899912,3.0,3
2009_women_in_development-out,0.0051816666607850635,0.2787920370307874,0.0,0
2009wess,0.006838446939792428,0.32027598114264894,1.0,1
2010_YouthReport-out,0.041113155681367274,0.7853007928306892,3.0,3
2010_cdpreport,0.0055425468627111,0.28833696076061166,0.0,0
2010_parliament-out,0.002466993672649438,0.1923665903678224,0.0,0
2010_post_conflict-out,0.003951612592173657,0.2434629106919673,0.0,0
2010_rwss,0.01208224895150996,0.42571555559158203,2.0,2
2010wess,0.006008450526524259,0.30021118882857095,0.0,0
2011_disability_and_the_mdgs-out,0.025824166219038994,0.6223845220485362,3.0,3
2011_rwss,0.00414517231321227,0.2493543356314144,0.0,0
2011_youth_report-out,0.01735488323896827,0.5102188242161632,2.0,2
2011wess,0.006829188961236998,0.32005911081947813,1.0,1
2012_cdp_policynote,0.011817138358242368,0.4210190914598001,2.0,2
2012wess,0.016872583065951574,0.5030792641217422,2.0,2
2013_UNTT_mdg8-out,0.00024077530941673774,0.060096835534419496,0.0,0
2013_rwss,0.014285074339340382,0.46289968145388233,2.0,2
2013_youth_report-out,0.010730260079288467,0.40119060456262806,2.0,2
2013wess,0.007572457107854906,0.33702649245693367,1.0,1
2014_Urbanization-out,0.008865408151815307,0.36466576789881117,1.0,1
2014_cdp_policynote,0.004509702192562565,0.26008754850711036,0.0,0
2014wess_overview,0.006547692380835316,0.3133933402491663,1.0,1
2015_GSDR-out,0.01048682942072004,0.3966137180063249,1.0,1
2015_World_Public_Sector_Report,0.00676545603439136,0.3185621454533957,1.0,1
2015_World_Youth_Report,0.03500090407814777,0.7245781953469319,3.0,3
2016_GSDR,0.020615877381246817,0.5560918635609609,3.0,3
2016_rwss,0.030977106600834966,0.6816572445243463,3.0,3
2016wess,0.011603065734874312,0.4171881901769448,2.0,2
2017wess,0.0008810223937025341,0.11495797451911725,0.0,0
2018_World_Public-Sector-Report,0.005254915667472126,0.2807556500091884,0.0,0
2018_World_Youth_Report,0.031020638331928217,0.6821360384695441,3.0,3
2018_rwss,0.0009563468815665876,0.11977146247541112,0.0,0
2018wess,0.005219510186087057,0.27980824289378226,0.0,0
CDP_PN_2004_poverty_reduction,0.006314600938686423,0.30776454324742536,1.0,1
CDP_PN_2005_sub-saharan_africa,0.010550833511455119,0.39782219982276856,2.0,2
CDP_PN_2006_economic_vulnerability,0.010103601227496388,0.38929939431297067,1.0,1
CDP_PN_2007_Climate_change,0.02428944268678295,0.6036071903993062,3.0,3
CDP_PN_2007_Partnerhips,0.0021623606048971106,0.1800983316787156,0.0,0
CDP_PN_2017_productive_capacity,0.002510293925774029,0.1940474397837045,0.0,0
PN_FinancialPolicyNote,0.021757237546504462,0.5712780086766573,3.0,3
PN_InvestmentTechnologyPolicyNote,0.006861818626539719,0.3208228162056056,1.0,1
PN_MacroBackgroundNote,0.008610230966324246,0.3593792766630593,1.0,1
PN_MacroGrowthPolicyNote,0.008388018984804745,0.35471155150639117,1.0,1
PN_SOEReformNote,0.01895746042603064,0.5332559482935559,3.0,3
PN_SocialPolicyNote,0.011966128685126398,0.42366487968310046,2.0,2
PN_TradePolicyNote,0.011410581343923393,0.4137133308933263,2.0,2
UNTT_MonitoringReport_WEB-out,0.012253592348255826,0.4287235533812405,2.0,2
WP142_2015,0.011842700596295275,0.4214742091094414,2.0,2
WP143_2015,0.033278335580053255,0.7065232011058086,3.0,3
WP144_2015,0.012803715370212961,0.4382416348924351,2.0,2
WP145_2015,0.035755705515784,0.7323493583917173,3.0,3
WP147_2016,0.013506656030343182,0.45011092016873766,2.0,2
WP148_2016,0.005541163532409414,0.28830097638776947,0.0,0
policybrief1,0.01924402124802127,0.5372711780100614,3.0,3
policybrief10,0.005122504508593613,0.2771959011762335,0.0,0
policybrief11,0.00939018825819678,0.3753036422324618,1.0,1
policybrief12,0.004504219442723898,0.2599293974156414,0.0,0
policybrief13,0.006947923599567236,0.32282945031937305,1.0,1
policybrief14,0.006363696154393691,0.3089586417563124,1.0,1
policybrief15,0.020708933090570224,0.5573454910184108,3.0,3
policybrief16,0.006424750640870906,0.31043720719827317,1.0,1
policybrief17,0.018916341611462637,0.5326773171179148,3.0,3
policybrief18,0.005645398673255513,0.29099996580555243,0.0,0
policybrief19,0.005177054708126867,0.2786679397094381,0.0,0
policybrief2,0.0011389510291132743,0.13070679185374842,0.0,0
policybrief20,0.0059609677546683055,0.29902260168760586,0.0,0
policybrief21,0.04563237113991933,0.8273364292105055,3.0,3
policybrief22,0.004731508759796199,0.2664068906709115,0.0,0
policybrief23,0.003919342575239653,0.24246677840189734,0.0,0
policybrief24,0.005027630060989223,0.27461691665816645,0.0,0
policybrief25,0.008076965011847133,0.3480725142519975,1.0,1
policybrief26,0.02498976069117449,0.6122470174428107,3.0,3
policybrief27,,0.0,,0
policybrief28,0.03346567493622967,0.70850908536408,3.0,3
policybrief29,0.0035333442986760265,0.230217645892187,0.0,0
policybrief3,0.011756718345792928,0.4199413949432634,2.0,2
policybrief30,0.01704880769685952,0.5056996296744668,2.0,2
policybrief31,0.011785156876360335,0.42044898994456514,2.0,2
policybrief32,0.004742770808707069,0.2667237562171882,0.0,0
policybrief33,0.005618415914711222,0.29030370083873946,0.0,0
policybrief34,0.007305600748694466,0.3310347583418046,1.0,1
policybrief35,0.019897655293964162,0.5463193474603132,3.0,3
policybrief36,0.022799803706471482,0.584805143271733,3.0,3
policybrief37,0.002492243552157968,0.1933485280067307,0.0,0
policybrief38,0.011517196329374951,0.4156416063637329,2.0,2
policybrief39,0.011721503224122846,0.4193119940591286,2.0,2
policybrief4,0.017486248158449565,0.5121461923872357,2.0,2
policybrief40,0.02005338104663789,0.548453020503642,3.0,3
policybrief41,0.03239257140415158,0.6970570787692165,3.0,3
policybrief42,0.016317279560410028,0.4947314356356895,2.0,2
policybrief43,0.003432164003800849,0.22689746595546795,0.0,0
policybrief5,0.03196126846706088,0.69240091493723,3.0,3
policybrief6,0.008688758267039461,0.3610143681428648,1.0,1
