doc,sdg,sc_rank,rc_rank,rc2,rc_rank2,cogdiv_quartile,final_rank
1995wess_clean,1,3,6,221.99996513497348,7,2,3.0
1995wess_clean,2,5,3,61.000003195446325,3,2,5.0
1995wess_clean,3,8,8,260.9994858269215,9,2,8.0
1995wess_clean,4,10,10,265.9997668706118,10,2,10.0
1995wess_clean,5,12,12,465.00009801774263,12,2,12.0
1995wess_clean,6,17,17,629.0005865166366,17,2,17.0
1995wess_clean,7,13,11,386.0002718108337,11,2,13.0
1995wess_clean,8,1,1,9.00000222584039,1,2,1.0
1995wess_clean,9,6,5,104.99999507497857,5,2,6.0
1995wess_clean,10,4,4,73.99999809327389,4,2,4.0
1995wess_clean,11,15,14,552.0005895496513,13,2,15.0
1995wess_clean,12,7,8,232.9998966954755,8,2,7.0
1995wess_clean,13,11,13,580.9999986935572,14,2,11.0
1995wess_clean,14,14,15,593.0000296617111,15,2,14.0
1995wess_clean,15,16,16,594.0003269176822,16,2,16.0
1995wess_clean,16,9,8,216.9999025734131,6,2,9.0
1995wess_clean,17,2,1,11.0,2,2,2.0
1997wess_clean,1,6,6,162.00001819622233,7,1,6.0
1997wess_clean,2,7,6,144.00008638613744,6,1,7.0
1997wess_clean,3,1,3,85.99994020035797,3,1,1.0
1997wess_clean,4,13,13,521.0002457087446,13,1,13.0
1997wess_clean,5,14,14,594.0003297718586,14,1,14.0
1997wess_clean,6,16,16,681.0006620080137,16,1,16.0
1997wess_clean,7,4,5,97.00000510086004,4,1,4.0
1997wess_clean,8,2,2,18.999992844184007,2,1,2.0
1997wess_clean,9,10,8,230.0000657589847,8,1,10.0
1997wess_clean,10,5,4,104.00000012494391,5,1,5.0
1997wess_clean,11,12,12,421.00033891904656,12,1,12.0
1997wess_clean,12,9,10,269.00015706386756,10,1,9.0
1997wess_clean,13,8,8,289.9999901319237,11,1,8.0
1997wess_clean,14,15,16,688.9999304228177,17,1,15.0
1997wess_clean,15,17,16,676.9996126369482,15,1,17.0
1997wess_clean,16,11,10,251.0,9,1,11.0
1997wess_clean,17,3,1,13.999999997801337,1,1,3.0
1998wess_clean,1,9,6,170.00007995739014,6,3,6.0
1998wess_clean,2,3,3,33.99998349020413,3,3,3.0
1998wess_clean,3,16,16,634.9997886751663,16,3,16.0
1998wess_clean,4,14,12,473.00027959734456,11,3,12.0
1998wess_clean,5,11,12,491.0001308773049,12,3,12.0
1998wess_clean,6,17,17,649.999513502372,17,3,17.0
1998wess_clean,7,10,9,233.99988504980334,9,3,9.0
1998wess_clean,8,1,2,8.99999748552344,2,3,2.0
1998wess_clean,9,8,5,134.00002435371456,5,3,5.0
1998wess_clean,10,4,4,41.00000862143555,4,3,4.0
1998wess_clean,11,13,10,450.00028532532974,10,3,10.0
1998wess_clean,12,5,7,195.00005074741756,7,3,7.0
1998wess_clean,13,6,10,506.0000380386116,14,3,10.0
1998wess_clean,14,12,15,549.999941821326,15,3,15.0
1998wess_clean,15,15,14,494.0003166061872,13,3,14.0
1998wess_clean,16,7,8,228.99974804491342,8,3,8.0
1998wess_clean,17,2,1,6.0,1,3,1.0
1999wess_part2,1,6,7,149.99980079178368,6,3,7.0
1999wess_part2,2,4,3,83.99999074949052,3,3,3.0
1999wess_part2,3,11,10,389.00069685338883,12,3,10.0
1999wess_part2,4,13,12,380.99974745804457,11,3,12.0
1999wess_part2,5,12,9,326.00030632070064,9,3,9.0
1999wess_part2,6,17,16,676.9997094498267,16,3,16.0
1999wess_part2,7,16,16,677.0001360347412,17,3,16.0
1999wess_part2,8,1,2,19.000001949787638,2,3,2.0
1999wess_part2,9,5,5,150.0000175883305,7,3,5.0
1999wess_part2,10,3,4,116.99999985148325,5,3,4.0
1999wess_part2,11,9,8,229.99999252103765,8,3,8.0
1999wess_part2,12,10,13,414.00008563014205,13,3,13.0
