doc_x,sdg_x,score_a_norm,fuzz_x,rc2_x,rc_rank2_x,index1,doc_y,sdg_y,score_b_norm,fuzz_y,rc2_y,rc_rank2_y,doc,sdg,score_c_norm,fuzz,rc2,rc_rank2,dispersion
wp9_2006,17,1.0,-619,13.999999998283768,1,0,wp9_2006,16,1.0,82,30.00000022735228,2,wp9_2006,1,1.0,995,66.00002216469431,4,
wp9_2006,16,0.656685666127942,82,30.00000022735228,2,1,wp9_2006,17,0.619421101774043,-619,13.999999998283768,1,wp9_2006,10,0.8888537048765042,-592,37.99999412277595,3,0.021314095597901355
wp9_2006,10,0.5281650047346799,-592,37.99999412277595,3,2,wp9_2006,2,0.5412387177093059,490,278.00021240843466,8,wp9_2006,8,0.44458518049398354,161,74.00001535485868,5,0.002749735874547048
wp9_2006,1,0.5020141939826375,995,66.00002216469431,4,3,wp9_2006,8,0.4519140989729223,161,74.00001535485868,5,wp9_2006,17,0.44458518049398354,-619,13.999999998283768,1,0.0009769706927222354
wp9_2006,13,0.39254695508277204,-599,416.99997558884303,13,4,wp9_2006,10,0.26103774843270633,-592,37.99999412277595,3,wp9_2006,16,0.1390120329322356,82,30.00000022735228,2,0.016077483904501682
wp9_2006,5,0.3923440210282422,-244,228.99998417387863,6,5,wp9_2006,12,0.1764705882352941,-879,295.9998829623451,9,wp9_2006,4,0.055414819506016476,585,270.00013487105366,7,0.02912952082780873
wp9_2006,8,0.24643422124841355,161,74.00001535485868,5,6,wp9_2006,1,0.1660976641368797,995,66.00002216469431,4,wp9_2006,5,0.055414819506016476,-244,228.99998417387863,6,0.009198844391022972
wp9_2006,12,0.22735070761748924,-879,295.9998829623451,9,7,wp9_2006,3,0.14752567693744162,485,549.0003971821673,14,wp9_2006,11,0.055414819506016476,974,374.00059369425617,12,0.007403065866750625
wp9_2006,9,0.14381074600295654,-709,349.9998735083533,11,8,wp9_2006,15,0.1342670401493931,924,325.0003307965679,10,wp9_2006,2,0.027865737808739712,490,278.00021240843466,8,0.004142594064393913
wp9_2006,4,0.1194309239826484,585,270.00013487105366,7,9,wp9_2006,11,0.10748728395787219,974,374.00059369425617,12,wp9_2006,9,0.027865737808739712,-709,349.9998735083533,11,0.002477737411213738
wp9_2006,14,0.1106236506437969,311,573.0000904559731,15,10,wp9_2006,4,0.10190742963852205,585,270.00013487105366,7,wp9_2006,15,0.027865737808739712,924,325.0003307965679,10,0.002067836129074029
wp9_2006,15,0.03664191854245731,924,325.0003307965679,10,11,wp9_2006,5,0.09243697478991594,-244,228.99998417387863,6,wp9_2006,3,0.0,485,549.0003971821673,14,0.002166718800740117
wp9_2006,2,0.008201438212387278,490,278.00021240843466,8,12,wp9_2006,9,0.07563025210084032,-709,349.9998735083533,11,wp9_2006,6,0.0,884,677.0006279873182,16,0.0017223072606653176
wp9_2006,7,3.6336113597801486e-05,-909,680.999529071266,17,13,wp9_2006,13,0.059613589025353686,-599,416.99997558884303,13,wp9_2006,7,0.0,-909,680.999529071266,17,0.0011838717302180412
wp9_2006,11,2.1560002984867863e-05,974,374.00059369425617,12,14,wp9_2006,6,0.05135387488328665,884,677.0006279873182,16,wp9_2006,12,0.0,-879,295.9998829623451,9,0.0008787045802220734
wp9_2006,6,1.2192608232409585e-05,884,677.0006279873182,16,15,wp9_2006,14,0.04108309990662931,311,573.0000904559731,15,wp9_2006,13,0.0,-599,416.99997558884303,13,0.0005624401121518821
wp9_2006,3,0.0,485,549.0003971821673,14,16,wp9_2006,7,0.0,-909,680.999529071266,17,wp9_2006,14,0.0,311,573.0000904559731,15,
wp99_2010,8,1.0,-63,3.0,1,17,wp99_2010,8,1.0,-63,3.0,1,wp99_2010,8,1.0,-63,3.0,1,
wp99_2010,10,0.40902141544650206,-549,32.99999845575955,3,18,wp99_2010,17,0.48289421942587496,104,22.000001028589512,2,wp99_2010,10,0.20990044247787612,-549,32.99999845575955,3,0.019938659216013475
wp99_2010,17,0.16117922446533714,104,22.000001028589512,2,19,wp99_2010,2,0.2946650937213266,-400,154.99998390167104,5,wp99_2010,17,0.11117256637168141,104,22.000001028589512,2,0.008998108456313865
wp99_2010,9,0.12608623475013297,-427,257.99999040494765,9,20,wp99_2010,12,0.2453794730633111,-521,172.99996638221893,6,wp99_2010,1,0.03705752212389381,-387,113.99996306281943,4,0.010925837270389194
wp99_2010,2,0.12349829994054637,-400,154.99998390167104,5,21,wp99_2010,10,0.1777428234368856,-549,32.99999845575955,3,wp99_2010,4,0.024751106194690266,366,233.00004883982177,7,0.0060166570244570665
wp99_2010,12,0.046376543503440615,-521,172.99996638221893,6,22,wp99_2010,16,0.17538340542666145,341,238.00006071155838,8,wp99_2010,2,0.0,-400,154.99998390167104,5,0.00825881551827603
wp99_2010,1,0.011393371563627549,-387,113.99996306281943,4,23,wp99_2010,1,0.09996538175853932,-387,113.99996306281943,4,wp99_2010,3,0.0,485,573.0003444957161,16,0.0029946479092808234
