doc,sdg,score_a,score_b,score_c,score_a_norm,score_b_norm,score_c_norm,sc,sc_rank,rank_a,rank_b,rank_c,rc,rc_rank,fuzz,rc2,rc_rank2
1995wess_clean,1,0.05934211251273836,0.016621935707438286,0.2143,0.35155611236566275,0.04251143451470717,0.6632621479418137,0.09675468274005888,3,7,13,2,7.333333333333333,6,-364,221.99996513497348,7
1995wess_clean,2,0.11509153762608516,0.0982119550221982,0.0617,0.6820821780163415,0.36337598408057015,0.19096255029402662,0.0916678308827611,5,4,3,6,4.333333333333333,3,144,61.000003195446325,3
1995wess_clean,3,0.013323245492709706,0.08832343759571323,0.0308,0.0787203830122786,0.324487959337214,0.09532652429588363,0.044148894362807646,8,14,4,7,8.333333333333334,8,-994,260.9994858269215,9
1995wess_clean,4,0.026321663229665875,0.03401232993971814,0.024399999999999998,0.15578513956438794,0.11090167463202777,0.07551841535128442,0.02824466438979467,10,11,9,8,9.333333333333334,10,-803,265.9997668706118,10
1995wess_clean,5,0.01852030687145211,0.03377072613953741,0.0016,0.10953261555043214,0.10995153274985316,0.004952027236149799,0.017963677670329838,12,13,10,14,12.333333333333334,12,226,465.00009801774263,12
1995wess_clean,6,4.557527630028022e-05,0.018172041151285935,0.0016,0.0,0.0486074483310661,0.004952027236149799,0.006605872142528738,17,17,12,14,14.333333333333334,17,716,629.0005865166366,17
1995wess_clean,7,0.01890827018624406,0.019362370826699022,0.0049,0.11183276461554384,0.05328859191142075,0.015165583410708759,0.014390213670981028,13,12,11,11,11.333333333333334,11,759,386.0002718108337,11
1995wess_clean,8,0.14246164349591492,0.1330047060264858,0.3231,0.8443535089081748,0.5002035087325762,1.0,0.1995221165074669,1,2,2,1,1.6666666666666667,1,802,9.00000222584039,1
1995wess_clean,9,0.09896821444579078,0.03822714482187291,0.08929999999999999,0.586490545184934,0.1274770436541728,0.2763850201176106,0.07549845308922122,6,5,8,4,5.666666666666667,5,-122,104.99999507497857,5
1995wess_clean,10,0.12712464725511338,0.06659016421880616,0.08929999999999999,0.7534238353543257,0.23901871896639418,0.2763850201176106,0.09433827049130651,4,3,7,4,4.666666666666667,4,-191,73.99999809327389,4
